cp_id,district_id,address_en,address2_en,lat,lgt,waste_type,legend
283,Kwai_Tsing,Kwai Hing Road near Kwai Hing MTR Station,,22.363466,114.131442,"Metals,Other Plastic,Paper",Recycling Bins at Public Place
286,Kwai_Tsing,Wing Shun Street near Tsuen Wan Abattoir,,22.359678,114.114643,"Metals,Other Plastic,Paper",Recycling Bins at Public Place
288,Kwai_Tsing,Tai Wong Ha Resite Village RCP,,22.35273,114.1011,"Metals,Other Plastic,Paper",Recycling Bins at Public Place
289,Kwai_Tsing,Chung Mei Lo Uk Village RCP,,22.351205,114.105699,"Glass Bottles,Metals,Other Plastic,Paper",Recycling Bins at Public Place
293,Kwai_Tsing,Entrance to Tsing Fai San Tsuen Village RCP at Lot No. 817-865 in DD 434,,22.35232,114.104541,"Glass Bottles,Metals,Other Plastic,Paper",Recycling Bins at Public Place
294,Kwai_Tsing,"Kwai Shun Street RCP, near Kwai Wo Street, Kwai Shun Street",,22.354601,114.123517,"Metals,Other Plastic,Paper",Recycling Bins at Public Place
295,Kwai_Tsing,"Wing Kin Road RCP, No.14 Wing Kin Road",,22.358798,114.119323,"Metals,Other Plastic,Paper",Recycling Bins at Public Place
296,Kwai_Tsing,"Hing Shing Road RCP, No. 82 Hing Shing Road, Kwai Chung",,22.360048,114.125279,"Metals,Other Plastic,Paper",Recycling Bins at Public Place
297,Kwai_Tsing,"Tai Yuen Street RCP, near the Car park ,Tai Yuen Street",,22.370588,114.136223,"Metals,Other Plastic,Paper",Recycling Bins at Public Place
298,Kwai_Tsing,Pavement outside No. 3 Kin Chuen Street,,22.369497,114.129329,"Metals,Other Plastic,Paper",Recycling Bins at Public Place
302,Kwai_Tsing,Shek Tau Street near Kwai Yung Court,,22.366219,114.12408,"Metals,Other Plastic,Paper",Recycling Bins at Public Place
303,Kwai_Tsing,At side of New Fisherman Village RCP,,22.358775,114.105291,"Metals,Other Plastic,Paper",Recycling Bins at Public Place
307,Kwai_Tsing,"San Kwai Street Public Toilet , Kwai Chung",,22.355729,114.131925,"Metals,Other Plastic,Paper",Recycling Bins at Public Place
308,Kwai_Tsing,"Ha Kwai Chung Tsuen Refuse Collection Point at San Kwai Street, Kwai Chung",,22.356131,114.130296,"Metals,Other Plastic,Paper",Recycling Bins at Public Place
309,Kwai_Tsing,"Kau Wah Keng Sun Chuen Refuse Collection Point at Kau Wa Keng San Tsuen, Lai King Hill Road, Kwai Chung, N.T.",,22.344277,114.135619,"Metals,Other Plastic,Paper",Recycling Bins at Public Place
313,Kwai_Tsing,"Cheung Hang Village (Rife Range Association) Refuse Collection Point (KwT-21) at Near Rife Range Association , Cheung Hang Village",,22.346888,114.141447,"Metals,Other Plastic,Paper",Recycling Bins at Public Place
314,Kwai_Tsing,"Cheung Hang Village (Pump Station) Refuse Collection Point (KwT-23) at Near Pump Station, Cheung Hang Village",,22.346372,114.14049,"Metals,Other Plastic,Paper",Recycling Bins at Public Place
